title,artist,creator,tags,num_timing_points,num_uninherited_points,mp3_duration_seconds,song_name,variation_rating_uninherited
Gamushara (TV Size),Miyuna,HakuYT,rock jrock j-rock anime japanese black clover opening 5 chizu-kun,54,35,90.096,858503,0.3773752441839815
ADAMAS (TV Size),LiSA,Doormat,Kibbleru Monstrata Kyle73 StarrStyx sword art online sao alicization season three 3 kirito asuna eugeo alice opening 織部里沙 oribe risa,24,5,90.10133333333332,859608,0.0443944595714454
ADAMAS (TV Size),LiSA,Sotarks,sword art online sao alicization season three 3 kirito asuna eugeo alice opening op shogunmoon shunao -laura- corinn akitoshi armin a_r_m_i_n snownino_ reform kujinn,22,5,90.10133333333332,859718,0.0443944595714454
ADAMAS (TV Size),LiSA,Regou,sword art online sao alicization season three 3 kirito asuna eugeo alice opening 織部里沙 oribe risa Flask kanor Yugu Chaoslitz,94,9,90.10133333333332,860219,0.0887889191428909
katharsis (TV Size),TK from Ling tosite sigure,Monstrata,tokyo ghoul re season two 2 opening kaneki ken haise sasaki alternator hey lululu doormat 第2期,82,12,90.12,861289,0.1220594762538837
Norwegian Pirate,Two Steps From Hell,emu1337,orchestral nick phoenix thomas jacob bergersen archangel tsfh sleepymateo ratina0,144,4,179.80616666666666,861339,0.0166846335451972
Harumachi Clover,R3 Music Box,Nao Tomori,花坂結衣 M・A・O hanasaka yui mao ichimichi m.a.o kantoku lolis,4,3,49.893875,861685,0.0400850805835385
Lament,Aoi Eir,CXu,Saber Image Song Soushi Iihama BLAU セイバー フェイト/ゼロ Eiru Kotayo pkhg,45,6,320.0783673469388,86178,0.0156211744062678
Lonely Go! (TV Size),Brian The Sun,Nevo,mordred nelliel monstrata yukiyo aro agatsu naruto sarada uzimaki anime opening op ayyri eiri- fieryrage sotarks reform onlybiscuit,17,2,90.024,863227,0.0111081489380609
Heart Shaker,TWICE,Sotarks,kpop k-pop jyp entertainment japan korea once christmas xmas Merry & Happy sana jihyo dahyun nayeon jeongyeon chaeyoung momo mina tzuyu 나연 정연 모모 사나 지효 미나 다현 채영 쯔위 yuii- irohas mugiwarasekai eiri- ayyri,22,2,192.36570833333332,863840,0.0051984317197906
Rightfully (TV Size),Mili,Tsumugi-chan,Goblin Slayer OP anime breakcore electronic enerugi p4ndemonium pandemonium melwoine wenect wenet tech milli miili english,54,22,94.9297052154195,866335,0.2212163195107968
FIRE GROUND (TV Size),OFFICIAL HIGE DANDISM,Yudragen,Hinomaruzumou hinomaru sumo zumou of the Rising Sun Wrestler Kaitjuh Agent_James Agent James Mordred lewski lewdski ChaoticRed,70,30,90.6831746031746,866562,0.319794715247924
Vroom Vroom,Charli XCX,schoolboy,sophie komore dailycare morinaga djulus defenderdjulus -mikan pop2 Number 1 Angel mixtape ep recordings,261,3,193.09491666666668,868943,0.0103576004719613
Ningen Shikkaku,Neru,nold_1702,No Longer Human Kagamine Rin Kagamine Len kill worthless die bye 898 vocaloid happy623 Foreverends Sun Rainbow,38,12,299.10204166666665,86983,0.0367767466203354
Rightfully (TV Size),Mili,Hey lululu,Goblin Slayer OP japanese anime momocashew Yamato Kasai Yukihito Mitomo Shoto Yoshida Ame Yamaguchi Ao Fujimori leo16834 Trynna KwAIMSuckASFuk Yugu Regou lu^3,84,19,89.54941666666667,870328,0.2010063344912911
The Bad Thing,Arctic Monkeys,Milan-,BOUYAAA my favorite worst nightmare english rock indie,21,6,82.77163265306122,870688,0.060407168974878
Yukitoki (TV Size),yanaginagi,Fumika,Netsukawa opening ReySHeL wcx19911123 climbb65588 Nichiyouki nich95 My Youth Romantic Comedy Is Wrong As I Expected OreGairu Brains Base,8,7,89.07991666666666,87208,0.0673552493594235
Touhou vs. Fortnite Dance Compilation,Maki Ligon & Karamitasu,Testo,schoolboy komore trynna seto kousuke moves ZUN 狂気の瞳 Invisible Full Moon 東方永夜抄 Imperishable Night Reach for the Moon Immortal Smoke 月まで届け 不死の煙  Tsuki made Todoke Fushi no Kemuri Reach for the Moon Immortal Smoke 卯酉東海道　Retrospective 53 minutes Beloved Tomboyish Girl Otenba Koimusume おてんば恋娘 Bloom nobly cherry blossoms of Sumizome Border of Life Yuuga ni sakase Sumizome no sakura 幽雅に咲かせ 墨染の桜 Flight of the Bamboo Cutter Lunatic Princess 竹取飛翔 U.N. Owen Was Her? Death Waltz オーエンは彼女なのか？ Ooen wa kanojo na no ka? とうほうえいやしょう 東方永夜抄 Imperishable Night 東方紅魔郷 the Embodiment of Scarlet Devil 東方妖々夢 Perfect Cherry Blossom 6 7 8 鈴仙 優曇華院 イナバ Reisen Udongein Inaba 藤原 妹紅 Fujiwara no Mokou 摩多羅 隠岐奈 Okina Matara チルノ Cirno 西行寺 幽々子 Yuyuko Saigyouji 蓬莱山 輝夜 Kaguya Houraisan フランドール スカーレット Flandre Scarlet,24,13,98.278,872310,0.1221026068906571
7/8,Yuyoyuppe,Seto Kousuke,Draw the Emotional meola 巡音ルカ Megurine Luka vocaloid for a sick boy Story of Hope ggf gottagof4st gottagofast trynna Kowari,67,34,225.3844897959184,872314,0.1464164638386648
Sora-iro Days,Nakagawa Shouko,beat4you,Tengen Toppa Gurren Lagann OP,23,3,88.452,8733,0.0226111337222448
Nice For What,Drake,UndeadCapulet,scorpion lauryn hill ex-factor showboys drag rap get your roll on big tymers aeril,38,9,210.80816666666664,873829,0.0379491939354025
Rightfully,Mili,Ultima Fox,op opening full goblin slayer mordred,25,7,220.99425,874895,0.0271500276590906
