title,artist,creator,tags,num_uninherited_points,mp3_duration_seconds,song_name,variation_rating_uninherited
Night Witches,Sabaton,PantyDev,588 female night bomber regiment 46 po-2 polikarpov soviet world war II great patriotic war KeRLi_ Waaif piroshki,2,182.28244897959183,1177947,0.0054859916881627975
yoshi's island,glass beach,Phynta,p1twist paul blart dog food door weapon xiced william white jonas newhouse tony sanders daxe schaeffer j mcclendon punk art rock bedroom pop post-emo post-punk english fa featured artist,2,378.1474149659864,1179754,0.002644471336898992
Drip Too Hard,Lil Baby x Gunna,jamesjan3,harder hip hop hip-hop english rap trap jamesjan ajt delusional harepascals koda [_eli_] elinor mnyui gelidium turbo 2,4,145.6065306122449,1179995,0.020603471474703983
Burn,Ellie Goulding,Ultimate,Elly golding lights sb storyboard,2,160.70475,118166,0.006222591429313695
Jet Rocket,LiSA,Wen,"lover""s""mile lovers mile oribe risa japanese pop female vocalist jpop j-pop kowari",2,293.73494331065757,1189927,0.0034044298193776287
Sayonara Memories,supercell,Shinxyn,nagi gazette farewell goodbye,2,179.48733333333334,11932,0.005571423795922461
HAPPY PARTY TRAIN,Aqours,Sotarks,video game 3rd Single Love Live! Sunshine!! Second Live School Idol Project japanese female vocalist chiga elinor [_eli_] smokelind browiec anime 高海千歌 Chika Takami 伊波杏樹 Anju Inami 桜内梨子 Riko Sakurauchi 逢田梨香子 Rikako Aida 松浦果南 Kanan Matsuura 諏訪ななか Nanaka Suwa 黒澤ダイヤ Dia Kurosawa 小宮有紗 Arisa Komiya 畑 亜貴 Aki Hata 渡辺拓也 Takuya Watanabe EFFY アクア,2,136.07675,1194661,0.007348793971049426
Romeo and Cinderella,Hatsune Miku,xierbaliti,VOCALOID gdeath,2,280.93725,11954,0.003559513734828685
Fukagyaku Replace,MY FIRST STORY,Nevo,agatsu kudosu s00p fuju elinor [_eli_] eli maiev japanese rock Nobunaga Concerto Ending,3,231.048,1198125,0.008656209965028912
Bull's Eye (TV Size),nano,Apis035,hidan no aria the scarlet ammo double bulls affirmation neoskylove hakku xahlt bite you death byd rock jrock j-rock anime opening japanese,2,90.024,1198327,0.011108148938060962
STARRY SKY,PassCode,Akitoshi,Corinn -Laura- Inseki Kazoku Tokai Toukai TV Television Drama Japanese Pop Rock 高嶋楓 Takashima Kaede 南菜生 Minami Nao 今田夢菜 Imada Yuna 大上陽奈子 Oogami Hinako,3,240.561625,1199549,0.00831387799280122
SAVIOR OF SONG (TV Size),nano feat. MY FIRST STORY,maaagic,Guy LunarSakuya Umi opening aoki hagane no arpeggio of blue steel,2,90.00041666666667,120178,0.011111059671020041
NIGHT RUNNING (TV Size),Shin Sakiura feat. AAAMYYY,Peter,Anime Japanese ED Ending BNA: Brand New Animal furry netflix j-pop シン サキウラ TVアニメ Pieseu エイミー amy honami furuhara 大神士郎 Ōgami Shirō Ogami Shirou 影森みちる Kagemori Michiru 日渡なずな Hiwatashi Nazuna,2,60.086122448979594,1204304,0.016642778053270475
ego-izm,la la larks,Bellicose,school food punishment yumi uchimura egoizm egoism tetsu dark metal M3: Sono Kuroki Hagane ending ed japanese rock anime full version lasse captin1 kalibe collab dored garden,3,231.3665306122449,1207305,0.00864429264988145
Purity Red,Amane,TicClick,Electro Cute dubstep OnosakiHito U.N. Owen Was Her Flandre Embodiment Of Scarlet Devil th06 Vass_Bass,2,224.5229931972789,121064,0.004453886819161288
conflict,siromaru + cranky,yf_bmp,iimo HARMONIC SCHRANZ electronic conlang english BOF2011 Arcaea SOUND VOLTEX III GRAVITY WARS maimai FiNALE DX Cytus II Deemo VOEZ Synchronica Taiko no Tatsujin CHUNITHM O.N.G.E.K.I ongeki Muse Dash TAPSONIC TOP Groove Coaster Waiwai Party!!!! 2 Original Style RHYTHMVADERS WACCA SEVEN's CODE Dance Rail Respect PUMP IT UP Orzmic TAKUMI X_Light Yorita_Yoshino Setu StrengeMistake X Light Yorita Yoshino video rhythm game featured artist fa mappers' guild mappers mpg,3,159.42530612244897,1212359,0.012545059806652466
Sparkling Daydream,ZAQ,Natsu,opening Hinsvar Oyatsu xinely 10nya -_t_e_n_n_y_a_- 中二病でも恋がしたい!  tennya,2,249.9395918367347,121906,0.004000966764214047
Naglfar no Senjou nite,monet,Luscent,SubaHibi ending ed vn visual novel on the board to Subarashiki Hibi ~Furenzoku Sonzai~  Wonderful Everyday Discontinuous Existence Diskontinuierliches Dasein japanese eroge video game pop 404 aimnotfound allein InternalLight,2,295.6538775510204,1220443,0.0033823334511397774
dual existence (TV Size),fripSide,Toumei Dragon,toaru kagaku no railgun t opening yoshino nanjo index dailycare kawashiro [_lost_] Sarawatlism conner anime japanese pop jpop c_o_n_n_e_r,2,89.58816326530612,1223739,0.011162188882459873
